MEMBERSHIP BY GRADE/RACE/GENDER BY SCHOOL,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/20/14",,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed.  Data for groups less than 10 are displayed with an asterisk (*).  
Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,
District #,District,School #,School ,Grade,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female Total,Male Total,Total
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,3,72,37,17, , , ,4,62,68,130
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,4,58,29,21,1, ,1,5,58,57,115
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,5,53,37,10,2, , ,7,51,58,109
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0161,SCHOOL TOTALS,TOTAL,183,103,48,3, ,1,16,171,183,354
01,ALACHUA,0171,ARCHER ELEMENTARY,PK,1,15,3, , ,1, ,9,11,20
01,ALACHUA,0171,ARCHER ELEMENTARY,KG,39,21,6,3, ,1,5,34,41,75
01,ALACHUA,0171,ARCHER ELEMENTARY,1,34,14,5, , , ,5,29,29,58
01,ALACHUA,0171,ARCHER ELEMENTARY,2,59,19,6, , , ,4,50,38,88
