MEMBERSHIP BY GRADE/RACE/GENDER BY SCHOOL,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/20/14",,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed.  Data for groups less than 10 are displayed with an asterisk (*).  
Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,
District #,District,School #,School ,Grade,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female Total,Male Total,Total
01,ALACHUA,0171,ARCHER ELEMENTARY,3,42,22,9,2, , ,3,36,42,78
01,ALACHUA,0171,ARCHER ELEMENTARY,4,48,20,6,2, , ,4,41,39,80
01,ALACHUA,0171,ARCHER ELEMENTARY,5,65,18,7,3, , ,7,53,47,100
01,ALACHUA,0171,ARCHER ELEMENTARY,6, , , , , , , , , , 
01,ALACHUA,0171,ARCHER ELEMENTARY,7, , , , , , , , , , 
01,ALACHUA,0171,ARCHER ELEMENTARY,8, , , , , , , , , , 
01,ALACHUA,0171,ARCHER ELEMENTARY,9, , , , , , , , , , 
01,ALACHUA,0171,ARCHER ELEMENTARY,10, , , , , , , , , , 
01,ALACHUA,0171,ARCHER ELEMENTARY,11, , , , , , , , , , 
01,ALACHUA,0171,ARCHER ELEMENTARY,12, , , , , , , , , , 
01,ALACHUA,0171,SCHOOL TOTALS,TOTAL,288,129,42,10, ,2,28,252,247,499
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,6,15,9,1, , , ,1,11,15,26
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,7,20,13,1, , , ,2,18,18,36
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,8,20,19,3, , , ,2,18,26,44
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,9,29,11,1, , , , ,22,19,41
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,10,17,15,2, , , ,2,19,17,36
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,11,11,11,2, , , , ,6,18,24
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,12,31,19, , , , ,1,28,23,51
01,ALACHUA,0201,SCHOOL TOTALS,TOTAL,143,97,10, , , ,8,122,136,258
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,6,68,43,15, , ,1,13,67,73,140
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,7,62,36,15,2,1,1,5,50,72,122
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,8,65,43,12,1,1, ,4,58,68,126
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0221,SCHOOL TOTALS,TOTAL,195,122,42,3,2,2,22,175,213,388
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,9,122,44,12,1, ,1,6,85,101,186
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,10,90,35,12,3, ,1,6,67,80,147
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,11,98,32,11, ,1, ,4,64,82,146
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,12,94,20,14,1, ,1,5,71,64,135
01,ALACHUA,0261,SCHOOL TOTALS,TOTAL,404,131,49,5,1,3,21,287,327,614
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,9,186,67,20,4, , ,14,141,150,291
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,10,232,54,28,3, , ,7,173,151,324
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,11,190,49,23,2, , ,16,127,153,280
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,12,201,47,19,3, , ,8,156,122,278
01,ALACHUA,0271,SCHOOL TOTALS,TOTAL,809,217,90,12, , ,45,597,576,"1,173"
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,PK,5,9,1, , , , ,10,5,15
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,KG,19,14,1, , , , ,20,14,34
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,1,22,9,2, , , ,1,12,22,34
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,2,22,16, , , , ,1,22,17,39
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,3,16,6,1, , , , ,10,13,23
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,4,20,7,5, , , ,2,16,18,34
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,5,16,8,4, , , ,1,8,21,29
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,6, , , , , , , , , , 
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,7, , , , , , , , , , 
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,8, , , , , , , , , , 
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,9, , , , , , , , , , 
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,10, , , , , , , , , , 
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,11, , , , , , , , , , 
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHL,12, , , , , , , , , , 
01,ALACHUA,0281,SCHOOL TOTALS,TOTAL,120,69,14, , , ,5,98,110,208
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,PK,6,7, , , ,1,1,9,6,15
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,KG,16,5, ,1, , ,3,10,15,25
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,1,13,13,1, , ,1,3,10,21,31
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,2,21,9,4,1, , ,3,18,20,38
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,3,17,7, , , , ,1,16,9,25
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,4,12,6,1,1, , ,4,12,12,24
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,5,26,7,1, , , ,1,17,18,35
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0291,WALDO COMMUNITY SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0291,SCHOOL TOTALS,TOTAL,111,54,7,3, ,2,16,92,101,193
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,PK,19,68,17,2, , ,9,50,65,115
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,KG,25,53,13,2, , ,16,51,58,109
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,1,29,51,12,4, , ,15,45,66,111
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,2,27,50,10,1, , ,7,45,50,95
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,3,16,50,9,3, , ,9,43,44,87
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,4,16,43,11,2, , ,7,49,30,79
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,5,22,39,9,2, , ,9,42,39,81
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0311,MYRA TERWILLIGER ELEM. SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0311,SCHOOL TOTALS,TOTAL,154,354,81,16, , ,72,325,352,677
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,KG,30,66,22,12,1, ,7,61,77,138
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,1,29,67,17,6, , ,5,57,67,124
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,2,29,79,16,4, , ,10,68,70,138
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,3,18,64,10,10,1, ,12,42,73,115
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,4,29,51,14,3, , ,11,52,56,108
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,5,10,50,8,9, ,1,10,45,43,88
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0321,SCHOOL TOTALS,TOTAL,145,377,87,44,2,1,55,325,386,711
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,KG,51,15,10,2, , ,9,44,43,87
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,1,53,15,7,2, , ,8,42,43,85
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,2,45,25,9,3, , ,7,42,47,89
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,3,48,24,5,3, , ,9,43,46,89
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,4,32,13,5,2, , ,6,29,29,58
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,5,42,15,2,2, , ,5,36,30,66
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0331,SCHOOL TOTALS,TOTAL,271,107,38,14, , ,44,236,238,474
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,PK,3,100,4, , ,1,5,49,64,113
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,KG, ,47,1, , , ,2,19,31,50
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,1,1,35,4, , , ,1,18,23,41
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,2, ,32,1, , , ,3,15,21,36
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,3, ,41,1, , , ,2,17,27,44
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,4, ,22,1, , , ,2,12,13,25
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,5, ,27, , , , ,1,14,14,28
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,6, , , , , , , , , , 
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,7, , , , , , , , , , 
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,8, , , , , , , , , , 
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,9, , , , , , , , , , 
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,10, , , , , , , , , , 
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,11, , , , , , , , , , 
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEM,12, , , , , , , , , , 
01,ALACHUA,0341,SCHOOL TOTALS,TOTAL,4,304,12, , ,1,16,144,193,337
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,PK, ,9, , ,1, ,2,4,8,12
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,KG, , , , , , , , , , 
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,1, , , , , , , , , , 
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,2, , , , , , , , , , 
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,3, , , , , , , , , , 
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,4, , , , , , , , , , 
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,5, , , , , , , , , , 
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,6, , , , , , , , , , 
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,7, , , , , , , , , , 
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,8, , , , , , , , , , 
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,9,41,20,7,1, , ,2,29,42,71
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,10,25,18,4,1, , ,1,24,25,49
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,11,19,24,3,1, , , ,25,22,47
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT,12,16,15,3, ,1, ,1,21,15,36
01,ALACHUA,0411,SCHOOL TOTALS,TOTAL,101,86,17,3,2, ,6,103,112,215
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,PK, , , , , , , , , , 
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,KG, , , , , , , , , , 
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,1, , , , , , , , , , 
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,2, , , , , , , , , , 
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,3, , , , , , , , , , 
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,4, , , , , , , , , , 
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,5, , , , , , , , , , 
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,6,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,7,1,20, , , , , ,8,13,21
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,8, ,19,1, , , ,1,4,17,21
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,9,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,10,1,8,1, , , , ,1,9,10
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,11,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0412,HORIZON CTR. ALTERNATIVE SCHL,12,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0412,SCHOOL TOTALS,TOTAL,2,66,2, , , ,5,15,60,75
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,9,102,188,22,44, ,1,21,190,188,378
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,10,99,209,19,50, ,3,22,220,182,402
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,11,92,176,26,30, , ,10,176,158,334
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,12,86,141,13,28, , ,11,151,128,279
01,ALACHUA,0421,SCHOOL TOTALS,TOTAL,379,714,80,152, ,4,64,737,656,"1,393"
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,9,316,102,59,35, ,2,32,286,260,546
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,10,325,131,56,40,2,3,22,257,322,579
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,11,335,115,62,36,1, ,20,282,287,569
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,12,298,99,45,36, , ,30,263,245,508
01,ALACHUA,0431,SCHOOL TOTALS,TOTAL,"1,274",447,222,147,3,5,104,"1,088","1,114","2,202"
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,PK,9,6,3, , ,1,1,12,8,20
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,KG,55,4,8,1, , ,1,35,34,69
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,1,70,6,13,2, , ,2,43,50,93
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,2,45,10,9,1, , ,2,37,30,67
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,3,68,10,4,1, , ,5,43,45,88
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,4,62,11,6,2, , ,1,41,41,82
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,5,73,8,3, , ,1,3,42,46,88
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,6,77,13,9,1, , ,1,47,54,101
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,7,77,15,6,1, , ,1,53,47,100
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,8,87,4,8,1, , ,2,45,57,102
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0461,SCHOOL TOTALS,TOTAL,623,87,69,10, ,2,19,398,412,810
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,PK, , , , , , , , , , 
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,KG, , , , , , , , , , 
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,1, , , , , , , , , , 
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,2, , , , , , , , , , 
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,3, , , , , , , , , , 
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,4, , , , , , , , , , 
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,5, , , , , , , , , , 
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,6,150,68,43,10, , ,15,142,144,286
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,7,153,72,24,11, , ,15,153,122,275
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,8,120,73,39,16, ,1,20,125,144,269
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0481,SCHOOL TOTALS,TOTAL,423,213,106,37, ,1,50,420,410,830
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,PK,11,4,2,4, , ,1,8,14,22
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,KG,72,26,10,16, , ,11,56,79,135
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,1,62,29,12,9, , ,6,52,66,118
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,2,57,17,17,18, , ,14,65,58,123
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,3,62,22,13,10, , ,15,57,65,122
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,4,76,19,18,21, , ,10,73,71,144
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,5,72,16,9,14, , ,5,54,62,116
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,6, , , , , , , , , , 
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,7, , , , , , , , , , 
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,8, , , , , , , , , , 
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,9, , , , , , , , , , 
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,10, , , , , , , , , , 
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,11, , , , , , , , , , 
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,12, , , , , , , , , , 
01,ALACHUA,0482,SCHOOL TOTALS,TOTAL,412,133,81,92, , ,62,365,415,780
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENT,PK,1,60,1,1, , ,1,33,31,64
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENT,KG, , , , , , , , , , 
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENT,1, , , , , , , , , , 
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENT,2, , , , , , , , , , 
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENT,3, , , , , , , , , , 
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENT,4, , , , , , , , , , 
01,ALACHUA,0492,FEARNSIDE FAMILY SERVICES CENT,5, , , , , , , , , , 
