MEMBERSHIP BY GRADE BY SCHOOL,,,,,,,,,,,,,,,,,,
"SCHOOL YEAR 2014-15, SURVEY 2 as of 12/21/14",,,,,,,,,,,,,,,,,,
SCHOOL TOTALS,,,,,,,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the 
performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  Blank cells indicate no population for that subgroup.",,,,,,,,,,,,,,,,,,
06,BROWARD,0101,DANIA ELEMENTARY SCHOOL,18,80,99,100,68,93,71, , , , , , , ,529
06,BROWARD,0111,HOLLYWOOD HILLS ELEM. SCHOOL, ,130,144,146,106,121,131, , , , , , , ,778
06,BROWARD,0121,HOLLYWOOD CENTRAL ELEM. SCHOOL, ,94,108,84,104,85,71, , , , , , , ,546
06,BROWARD,0131,HALLANDALE ELEMENTARY SCHOOL, ,160,217,183,179,181,167, , , , , , , ,"1,087"
06,BROWARD,0151,RIVERLAND ELEMENTARY SCHOOL,35,98,95,94,121,97,89, , , , , , , ,629
06,BROWARD,0161,WEST HOLLYWOOD ELEMENTARY SCHO,48,91,105,107,105,96,66, , , , , , , ,618
06,BROWARD,0171,SOUTH BROWARD HIGH SCHOOL, , , , , , , , , , ,508,542,482,491,"2,023"
06,BROWARD,0185,POMPANO BEACH H. S., , , , , , , , , , ,339,298,281,288,"1,206"
06,BROWARD,0191,WILTON MANORS ELEMENTARY SCHOO,20,102,124,93,97,92,95, , , , , , , ,623
06,BROWARD,0201,BENNETT ELEMENTARY SCHOOL,57,68,63,73,52,64,52, , , , , , , ,429
06,BROWARD,0211,STRANAHAN HIGH SCHOOL, , , , , , , , , , ,377,415,352,354,"1,498"
06,BROWARD,0221,CROISSANT PARK ELEMENTARY SCHO,22,117,131,123,132,122,96, , , , , , , ,743
06,BROWARD,0231,COLBERT ELEMENTARY SCHOOL,71,100,112,99,108,87,96, , , , , , , ,673
06,BROWARD,0241,MCARTHUR HIGH SCHOOL, , , , , , , , , , ,552,574,524,592,"2,242"
06,BROWARD,0251,SUNRISE MIDDLE SCHOOL, , , , , , , ,439,508,441, , , , ,"1,388"
06,BROWARD,0271,DILLARD ELEMENTARY SCHOOL,90,116,117,126,139,106,121, , , , , , , ,815
06,BROWARD,0321,WALKER ELEMENTARY (MAGNET),56,83,81,110,115,117,123, , , , , , , ,685
06,BROWARD,0331,COLLINS ELEMENTARY SCHOOL,27,55,51,59,40,42,42, , , , , , , ,316
06,BROWARD,0341,BETHUNE MARY M ELEMENTARY SCHO,156,89,102,112,100,66,78, , , , , , , ,703
06,BROWARD,0343,ATTUCKS MIDDLE SCHOOL, , , , , , , ,218,227,257, , , , ,702
06,BROWARD,0361,BLANCHE ELY HIGH SCHOOL, , , , , , , , , , ,566,506,518,452,"2,042"
06,BROWARD,0371,DILLARD  6-12, , , , , , , ,144,106,94,523,461,371,379,"2,078"
06,BROWARD,0391,DEERFIELD PARK ELEMENTARY SCHL,39,77,102,113,99,80,74, , , , , , , ,584
06,BROWARD,0403,HALLANDALE HIGH SCHOOL, , , , , , , , , , ,415,375,309,277,"1,376"
06,BROWARD,0405,LANIER-JAMES EDUCATION CENTER, , , , , , , , ,13,22,17,8,17,7,84
06,BROWARD,0452,WHIDDON RODGERS ED. CENTER, , , , , , , , , ,66,84,174,269,572,"1,165"
06,BROWARD,0461,OAKRIDGE ELEMENTARY SCHOOL,15,88,81,88,80,87,110, , , , , , , ,549
06,BROWARD,0471,OLSEN MIDDLE SCHOOL, , , , , , , ,243,252,287, , , , ,782
06,BROWARD,0481,MCNICOL MIDDLE SCHOOL, , , , , , , ,256,305,323, , , , ,884
06,BROWARD,0491,HARBORDALE ELEMENTARY SCHOOL, ,77,77,97,71,66,60, , , , , , , ,448
06,BROWARD,0501,BROWARD ESTATES ELEMENTARY SCH,18,57,68,76,78,79,63, , , , , , , ,439
06,BROWARD,0511,WATKINS ELEMENTARY SCHOOL,5,110,123,116,129,114,109, , , , , , , ,706
